id;peak1;n_visitas1;standv1;MAD1;cov1;peak2;n_visitas2;standv2;MAD2;cov2;diff_visita;diff_peak
150233682;6;11;4.544.227.107.000.700;3.0;0.5;13;11;4.340.506.882.842.140;4.0;0.3076923076923077;0;-7
150233684;6;11;4.544.227.107.000.700;3.0;0.5;13;11;4.340.506.882.842.140;4.0;0.3076923076923077;0;-7
310006329;2;13;13.616.778.865.306.800;0.5;0.25;9;13;14.976.833.963.009.500;1.0;0.1111111111111111;0;-7
365979;7;7;12.909.944.487.358.000;1.0;0.14285714285714285;15;7;12.583.057.392.117.900;1.5;0.1;0;-8
70153649;6;5;0.5;0.5;0.08333333333333333;14;5;14.142.135.623.730.900;1.0;0.07142857142857142;0;-8
150219159;4;11;2.238.302.928.559.930;2.0;0.5;12;11;19.621.416.870.348.500;1.5;0.125;0;-8
310013560;14;6;0.6324555320336759;0.0;0.0;22;6;27.129.319.932.501.000;2.0;0.09090909090909091;0;-8
70091725;3;17;16.153.559.979.150.100;1.5;0.5;12;17;1.964.529.205.687.710;1.5;0.125;0;-9
70166852;3;10;38.232.556.742.411.600;1.0;0.3333333333333333;12;10;38.232.556.742.411.600;1.0;0.08333333333333333;0;-9
20032;2;6;0.4898979485566356;0.0;0.0;12;6;27.856.776.554.368.200;2.0;0.16666666666666666;0;-10
48123;2;14;14.349.813.927.828.900;1.0;0.5;12;14;18.873.606.379.054.300;1.0;0.08333333333333333;0;-10
100097;12;5;511.737.237.261.468;3.5;0.2916666666666667;22;5;3.344.772.040.064.910;0.5;0.022727272727272728;0;-10
110026810;2;9;5.584.576.975.922.160;3.0;1.5;12;9;5.584.576.975.922.160;3.0;0.25;0;-10
130184073;3;13;13.819.269.959.814.100;1.0;0.3333333333333333;13;13;18.911.342.863.183.600;1.0;0.07692307692307693;0;-10
195212;5;4;0.816496580927726;1.0;0.2;16;4;37.712.361.663.282.500;0.0;0.0;0;-11
40020566;3;5;4.763.139.720.814.410;3.0;1.0;14;5;4.656.984.002.549.280;3.5;0.25;0;-11
70148685;2;5;0.82915619758885;0.5;0.25;13;5;1.479.019.945.774.900;1.0;0.07692307692307693;0;-11
62977;8;7;2.692.582.403.567.250;1.5;0.1875;20;7;20.615.528.128.088.300;1.5;0.075;0;-12
70046878;2;10;6.220.237.778.790.400;2.0;1.0;14;10;6.220.237.778.790.400;2.0;0.14285714285714285;0;-12
137368;4;10;18.856.180.831.641.200;1.0;0.25;17;10;26.152.449.546.532.900;2.0;0.11764705882352941;0;-13
40002082;9;5;1.479.019.945.774.900;1.0;0.1111111111111111;22;5;27.726.341.266.023.500;2.5;0.11363636363636363;0;-13
70027861;4;6;16.733.200.530.681.500;1.0;0.25;17;6;62.289.646.009.589.700;3.0;0.17647058823529413;0;-13
76968;5;5;20.615.528.128.088.300;2.0;0.4;19;5;248.746.859.276.655;0.5;0.02631578947368421;0;-14
136490;9;7;3.890.872.509.976.250;2.0;0.2222222222222222;23;7;469.041.575.982.343;1.5;0.06521739130434782;0;-14
70089357;7;9;2.117.634.293.262.170;1.0;0.14285714285714285;21;9;20.463.381.929.681.100;2.0;0.09523809523809523;0;-14
130036052;7;8;1.124.858.267.715.970;0.0;0.0;21;8;2.258.769.757.263.120;1.0;0.047619047619047616;0;-14
70007774;6;6;3.720.215.047.547.650;3.0;0.5;21;6;26.076.809.620.810.500;1.0;0.047619047619047616;0;-15
70107193;6;7;17.716.909.687.891.000;1.0;0.16666666666666666;21;7;262.466.929.133.727;0.5;0.023809523809523808;0;-15
37309;6;8;3.282.607.226.593.150;2.0;0.3333333333333333;22;8;25.634.797.778.466.200;2.0;0.09090909090909091;0;-16
151235436;5;5;2.165.063.509.461.090;1.5;0.3;21;5;0.4330127018922193;0.0;0.0;0;-16
310011421;10;4;2.160.246.899.469.280;1.0;0.1;27;4;0.816496580927726;1.0;0.037037037037037035;0;-17
320000371;13;6;21.908.902.300.206.600;2.0;0.15384615384615385;30;6;3.249.615.361.854.380;3.0;0.1;0;-17
107302;7;6;29.933.259.094.191.500;2.0;0.2857142857142857;25;6;2.280.350.850.198.270;2.0;0.08;0;-18
110016604;11;7;30.776.975.521.032.300;2.5;0.22727272727272727;29;7;19.720.265.943.665.300;0.0;0.0;0;-18
310011567;8;7;35.901.098.714.230.000;3.0;0.375;26;7;27.688.746.209.726.900;2.5;0.09615384615384616;0;-18
110086373;3;5;1.0;1.0;0.3333333333333333;22;5;27.726.341.266.023.500;0.5;0.022727272727272728;0;-19
